Name,Mass (g) (not sexed),Source,Sex,Suborder,Handicap,Family,Genus,Species,Shi_match,r_humerus,Landmarked,l_humerus,Landmarked,r_radius,Landmarked,l_radius,Landmarked,r_tibia,Landmarked,l_tibia,Landmarked,r_femur,Landmarked,l_femur,Landmarked,Handwing,skull,Sternum,Landmarked,Verified,Pelvis,Landmarked,Verified,Sex,Lifestage,Notes,Author,kV,uA,um
Cynopterus_brachyotis_AMNH_233949,62.5,"Walker’s mammals of the world, VI",,,,Pteropodidae,Cynopterus,brachyotis,Cynopterus_brachyotis,,,1,Yes,,,1,Yes,broken,,1,Yes,,,1,Yes,Yes,,1,Yes,Yes; I replaced the left xiphoid curve,to do,,,M,adult,elbow caps; right femur crossed by stitching artifact. Right tibia broken. ,Andrew,130,170,31.84329
Chrotopterus_auritus_AMNH_278292,81.6,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Chrotopterus,auritus,Chrotopterus_auritus,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan appears to be cropped; volume rendering omits key parts of skeleton,Andrew,,,
Chiroderma_trinitatum_AMNH_209519,14,"Walker’s mammals of the world, VI",,,possible warping of second phalanx fifth digit,Phyllostomidae,Chiroderma,trinitatum,Chiroderma_trinitatum,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,,,,,,,M,adult,Right side only suitable for scanning; left femur crossed by stitching artifact. Very large head- unusual,Andrew,140,140,29.31606
Centurio_senex_AMNH_179990,22.5,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Centurio,senex,Centurio_senex,broken,,1,Yes,,,1,Yes,1,Yes,broken,,1,Yes,,,Yes,,1,Yes,Yes; No associated avizo project,,,,M,adult,"Stitching artifact left radius, assessed as minimal ",Andrew,140,140,29.31606
Centronycteris_maximiliani_AMNH_267397,23,https://eol.org/pages/327843/data,,,,Emballonuridae,Centronycteris,maximiliani,Centronycteris_maximiliani,14455,,,,,,broken,,,,,,,,,,,,,,,,,,,,Too much motion distortion at joints. I am unable to tell one bone from another.,Andrew,,,
Carollia_sowelli_AMNH_278922,15,Guess,,,,Phyllostomidae,Carollia,sowelli,Carollia_sowelli,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes; No associated avizo project,,,,?,adult,,Andrew,140,140,28.91314
Carollia_perspicillata_AMNH_278752,15,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Carollia,perspicillata,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threshold too high to segment,Andrew,,,
Carollia_perspicillata_AMNH_278640,15,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Carollia,perspicillata,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threshold too high to segment,Andrew,,,
Carollia_perspicillata_AMNH_277693,15,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Carollia,perspicillata,Carollia_perspicillata,1,,1,Yes,1,,1,Yes,1,Yes,1,,1,,1,Yes,Yes,,1,Yes,Yes; No associated avizo project,,,,M,adult,Contrast manually adjusted in Image J,Andrew,130,180,28.22101
Artibeus_phaeotis_AMNH_278943,11.6,https://eol.org/pages/327361/data,,,,Phyllostomidae,Artibeus,phaeotis,Artibeus_phaeotis,,,,,,,,,,,,,,,,,,,,,,,,,,,"I tried to adjust this threshold, but even after that this scan is not readily workable. ",Andrew,,,
